,Name,Age
0,George Washington,67
1,Douglas Adams,49
2,Abraham Lincoln,56
3,Wolfgang Amadeus Mozart,35
4,Ludwig van Beethoven,57
5,Jean-François Champollion,42
6,Paul Morand,88
7,Claude Monet,86
8,Diego Velázquez,61
9,El Greco,73
10,Elvis Presley,42
11,Galileo Galilei,78
12,Patricio Aylwin,98
13,Louis IX of France,56
14,Adolf Hitler,56
15,Blanche of Castile,64
16,Piet Kraak,63
17,Augusto Pinochet,91
18,Yanka Kupala,60
19,František Plánička,92
20,Linda Lovelace,53
21,Bob Marley,36
22,Carl Sagan,62
23,Salvador Allende,65
24,Denis Diderot,71
25,Georges Brassens,60
26,Philipp Ludwig von Seidel,75
27,Eduardo Frei Montalva,71
28,Arthur Rimbaud,37
29,"Ulrich Frédéric Woldemar, Comte de Lowendal",55
30,Charles Baudelaire,46
31,Stendhal,59
32,Émile Zola,62
33,Vladimir Vysotsky,42
34,Napoleon,52
35,Louis Pasteur,73
36,Victor Hugo,83
37,Giuseppe Garibaldi,75
38,Claude Bourgelat,67
39,Pierre Poivre,67
40,Jorge Alessandri,90
41,Carlos Ibáñez del Campo,83
42,Luís de Camões,56
43,Nicolaus Copernicus,70
44,Jean Moulin,44
45,Cleopatra,39
46,Friedrich Theodor Vischer,80
47,André-Marie Ampère,61
48,Alessandro Volta,82
49,Molière,51
